DOMAIN,SUPERGROUP,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,GENES,GENE ID,,
,,,,,Heterotrichea,,,,Climacostomum,,SSU rRNA,KP970234.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Heterotrichea,,,,Eufolliculina,,SSU rRNA,U47620.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,Ciliaphora,,Oligohymenophorea,,,,Tetrahymena,,SSU rRNA,M12714.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Colpidium,,SSU rRNA,KF639910.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Glaucoma,,SSU rRNA,DQ090842.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Ichthyophthirius,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Ophyglena,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Opisthonecta,,SSU rRNA,EF417834.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Paramecium,,SSU rRNA,LN870062.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Cyclidium,,SSU rRNA,KX853100.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Umnema,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Trimyema,,SSU rRNA,MF074215.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Oligohymenophorea,,,,Plagiopyla,,SSU rRNA,KY563719.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Litostomatea,,,,Entodinium,,18S rRNA,U57765.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Litostomatea,,,,Epidinium,,18S rRNA,U57763.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Litostomatea,,,,Polyplastron,,18S rRNA,JN116200.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Litostomatea,,,,Loxophyllum,,SSU rRNA,KT880230.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Nassophorea,,,,Furgasonia,,17S,X65150.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Nassophorea,,,,Pseudomicrothom,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Phyllopharyngea,,,,Discophlya,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Phyllopharyngea,,,,Trithipostoma,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Colpodea,,,,Colpoda,,SSU rRNA,M97908.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Spirotrichea,,,,Oxytricha,,SSU rRNA,KX889988.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Karyorelictea,,,,Trachelaphoris,,SSU rRNA,,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Karyorelictea,,,,Loxodes,,SSU rRNA,LN869953.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Apicomplexa,,,,Theileria,,SSU rRNA,AF078816.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Apicomplexa,,,,Sarcocystis,,SSU rRNA,EU282017.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Dinozoa,,,,Symbiodinium,,SSU rRNA,AB055918.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Ciliaphora,,Dinozoa,,,,Prorocentrum,,SSU rRNA,Y16233.1,"WRIGHT, ANDRダDEENIS G., BURK A. DEHORITY, and DENIS H. LYNN. ""Phylogeny of the rumen ciliates Entodinium, Epidinium and Polyplastron (Litostomatea: Entodiniomorphida) inferred from small subunit ribosomal RNA sequences.""ﾊJournal of Eukaryotic Microbiologyﾊ44.1 (1997): 61-67.",
,,,Choanozoa,,Choanoflagellates,,,Salpingoecidae,Choanoeca,,"tubA, hsp90, SSU, LSU rDNA","EU011964.1, EU011952.1, KT757437.1, KT757438.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Monosiga,brevicollis,"tubA, hsp90, SSU, LSU rDNA","XM_001743353.1, - , AF100940.1, KT757456.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Codosiga,,"tubA, hsp90, SSU, LSU rDNA","KT757436.1, KT757433.1, KT757430.1, KT757431.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Proterospongia,,"tubA, hsp90, SSU, LSU rDNA","AY226048.1, AY226082.1, AY149896.1, EU011941.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,Salpingoecidae,Salpingoeca,,"tubA, hsp90, SSU, LSU rDNA"," -- , XM_004989427.1, KT757482.1, HQ026767.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Stephanoeca,,"tubA, hsp90, SSU, LSU rDNA","EU011969.1, EU011961.1, AY149899.1, KT757509.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Diaphanoeca,,"tubA, hsp90, SSU, LSU rDNA","EU011966.1, EU011954.1, KT625474.1, KU587847.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,,Diplotheca,,"tubA, hsp90, SSU, LSU rDNA","EU011965.1, EU011953.1, EF483923.3, EU011938.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Choanoflagellates,,,Acanthoecidae,Savillea,,"tubA, hsp90, SSU, LSU rDNA","KT757466.1, EU011959.1, KT757467.1, KT757495.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Metazoa,,,,Haliclona,,"tubA, hsp90, SSU, LSU rDNA","AY226050.1, -- , AF231106.1, KC869611.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Metazoa,,,,Trichoplax,,"tubA, hsp90, SSU, LSU rDNA","XM_002110630.1, FJ387002.1, Z22783.1, AY603697.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Metazoa,,,,Nematostella,,"tubA, hsp90, SSU, LSU rDNA","AY226056.1, -- , MF398365.1, --","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Ichthyosporea,,,,Amoebidium,,"tubA, hsp90, SSU, LSU rDNA"," --  , KT595209.1,  Y19155.1, KT595133.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Choanozoa,,Ichthyosporea,,,,Ichthyophonus,,"tubA, hsp90, SSU, LSU rDNA"," --, KT595206.1, FJ869836.1, GQ403008.1","Carr, Martin, et al. ""Molecular phylogeny of choanoflagellates, the sister group to Metazoa.""ﾊProceedings of the National Academy of Sciencesﾊ105.43 (2008): 16641-16646.",
,,,Apusozoa,,Thecomonadea,,Apusomonadida,Apusomonadidae,Thecamonas,,18S rRNA,XR_001290156.1,"Cavalier-Smith, Thomas, and Ema E. Chao. ""Phylogeny and evolution of apusomonadida (protozoa: apusozoa): new genera and species.""ﾊProtistﾊ161.4 (2010): 549-576.",
,,,,,,,Apusomonadida,Apusomonadidae,Multimonas,,18S rRNA,KP996852.1,"Cavalier-Smith, Thomas, and Ema E. Chao. ""Phylogeny and evolution of apusomonadida (protozoa: apusozoa): new genera and species.""ﾊProtistﾊ161.4 (2010): 549-576.",
,,,Apusozoa,Varisulca,Glissodiscea,,Planomonadida,,Planomonas,,18S rRNA,EU349247.1,"Cavalier-Smith, Thomas, et al. ""Planomonadida ord. nov.(Apusozoa): ultrastructural affinity with Micronuclearia podoventralis and deep divergences within Planomonas gen. nov.""ﾊProtistﾊ159.4 (2008): 535-562.",
,,,Charophyta,,Chlorophyceae,,Chlamydomonadales,Volvocaceae,Volvox,,18S rRNA,LC086364.1,"Prochnik, Simon E., et al. ""Genomic analysis of organismal complexity in the multicellular green alga Volvox carteri.""ﾊScienceﾊ329.5988 (2010): 223-226.",
,,,Rhodophyta,,Rhodellophyceae,,Rhodellales,,Rhodella,,pbsA,AH005544.2,"Richaud, Catherine, and G屍ald Zabulon. ""The heme oxygenase gene (pbsA) in the red alga Rhodella violacea is discontinuous and transcriptionally activated during iron limitation.""ﾊProceedings of the National Academy of Sciences94.21 (1997): 11736-11741.",
,,,Rhodophyta,,Rhodellophyceae,,Rhodellales,,Rhodella,,SSU rRNA,AB045608.1,"Richaud, Catherine, and G屍ald Zabulon. ""The heme oxygenase gene (pbsA) in the red alga Rhodella violacea is discontinuous and transcriptionally activated during iron limitation.""ﾊProceedings of the National Academy of Sciences94.21 (1997): 11736-11741.",
